"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"15-Feb-2024","EQ","272.00","283.35","271.35","273.65","281.45","281.65","278.91","289.40","190.65","2,54,75,670","7,10,53,79,128.10","1,76,451"
"14-Feb-2024","EQ","269.50","275.00","267.00","270.25","274.05","273.65","271.13","289.40","190.65","1,35,46,941","3,67,30,22,848.10","1,37,073"
"13-Feb-2024","EQ","270.30","270.85","264.25","270.30","270.45","270.25","267.75","289.40","190.65","2,20,31,847","5,89,89,98,438.90","1,53,593"
"12-Feb-2024","EQ","273.20","276.00","266.25","273.00","270.25","270.30","270.67","289.40","190.65","1,91,40,023","5,18,05,88,598.50","1,61,285"
"09-Feb-2024","EQ","278.60","279.45","269.10","276.20","273.00","273.00","273.81","289.40","190.65","2,44,96,638","6,70,73,75,156.20","1,73,265"
"08-Feb-2024","EQ","270.80","288.05","270.80","267.95","276.00","276.20","281.05","289.40","190.65","6,97,76,717","19,61,10,30,395.45","4,71,791"
"07-Feb-2024","EQ","272.10","274.40","266.80","274.25","267.40","267.95","270.20","289.40","190.65","2,73,35,466","7,38,61,78,334.20","2,20,578"
"06-Feb-2024","EQ","282.90","282.90","272.30","282.90","275.20","274.25","274.37","289.40","190.65","2,96,68,277","8,14,01,03,034.10","2,50,505"
"05-Feb-2024","EQ","277.50","289.40","274.90","277.10","283.35","282.90","283.57","289.40","190.65","2,74,40,927","7,78,15,29,027.55","2,25,358"
"02-Feb-2024","EQ","264.50","281.40","263.95","265.80","278.00","277.10","276.46","281.40","190.65","3,39,00,724","9,37,22,26,063.70","2,70,287"
"01-Feb-2024","EQ","259.00","270.95","258.30","259.30","266.25","265.80","266.33","270.95","190.65","2,99,29,092","7,97,10,62,100.00","2,80,633"
"31-Jan-2024","EQ","254.00","260.00","252.40","254.10","259.90","259.30","256.10","267.00","190.65","3,43,69,455","8,80,20,39,868.20","1,74,543"
"30-Jan-2024","EQ","254.00","256.95","251.50","253.95","254.20","254.10","254.12","267.00","190.65","1,60,31,367","4,07,38,66,371.30","1,66,226"
