"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Jan-2025","EQ","11,296.35","11,574.95","11,260.85","11,296.35","11,545.00","11,544.85","11,500.65","12,145.35","9,250.00","3,77,755","4,34,44,26,362.95","70,380"
"28-Jan-2025","EQ","11,215.00","11,411.60","11,066.00","11,239.50","11,244.00","11,296.35","11,219.45","12,145.35","9,250.00","4,36,707","4,89,96,10,864.20","65,344"
"27-Jan-2025","EQ","11,260.00","11,360.00","11,150.00","11,285.85","11,215.00","11,239.50","11,271.81","12,145.35","9,250.00","4,14,994","4,67,77,33,916.80","1,11,767"
"24-Jan-2025","EQ","11,251.00","11,609.70","11,222.40","11,420.90","11,300.00","11,285.85","11,383.23","12,145.35","9,250.00","5,45,939","6,21,45,48,727.30","97,245"
"23-Jan-2025","EQ","10,690.00","11,571.45","10,689.95","10,693.75","11,406.95","11,420.90","11,194.20","12,145.35","9,250.00","15,10,866","16,91,29,29,812.85","1,59,831"
"22-Jan-2025","EQ","10,700.00","10,797.80","10,606.75","10,667.80","10,675.00","10,693.75","10,695.59","12,145.35","9,250.00","2,49,552","2,66,91,06,469.80","45,822"
"21-Jan-2025","EQ","10,677.50","10,968.05","10,642.05","10,624.45","10,668.95","10,667.80","10,797.33","12,145.35","9,250.00","5,93,842","6,41,19,08,549.65","97,398"
"20-Jan-2025","EQ","10,587.40","10,652.80","10,484.25","10,580.00","10,635.00","10,624.45","10,585.92","12,145.35","9,250.00","3,32,061","3,51,51,71,809.20","50,916"
"17-Jan-2025","EQ","10,636.20","10,723.95","10,500.10","10,636.20","10,600.00","10,580.00","10,573.66","12,145.35","9,250.00","2,97,759","3,14,84,03,337.30","59,678"
"16-Jan-2025","EQ","10,590.00","10,807.60","10,550.00","10,521.65","10,650.00","10,636.20","10,660.38","12,145.35","9,250.00","3,75,910","4,00,73,42,447.75","84,589"
