"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"07-Jun-2024","EQ","253.50","260.80","251.80","252.30","260.50","260.40","257.33","292.95","152.55","2,20,10,688","5,66,39,08,821.45","1,93,174"
"06-Jun-2024","EQ","254.00","259.50","249.25","247.50","253.50","252.30","254.21","292.95","152.55","3,08,81,233","7,85,03,95,512.95","3,12,385"
"05-Jun-2024","EQ","247.00","249.75","230.45","236.30","246.80","247.50","241.87","292.95","152.55","3,70,78,551","8,96,82,85,963.15","2,89,215"
"04-Jun-2024","EQ","285.00","285.00","223.00","284.10","238.00","236.30","246.86","292.95","152.55","7,27,79,900","17,96,61,64,002.95","7,06,417"
"03-Jun-2024","EQ","277.95","286.55","273.20","264.35","284.00","284.10","280.70","292.95","152.55","3,01,95,397","8,47,57,69,277.55","2,27,761"
"31-May-2024","EQ","268.45","268.45","263.00","266.70","265.70","264.35","264.92","292.95","150.05","2,41,67,379","6,40,23,40,688.25","1,46,871"
"30-May-2024","EQ","273.00","275.10","265.00","271.85","267.35","266.70","269.20","292.95","150.05","1,53,90,964","4,14,31,99,582.00","1,55,369"
"29-May-2024","EQ","273.80","273.80","270.25","274.30","272.90","271.85","271.75","292.95","150.05","83,27,205","2,26,29,26,404.30","82,493"
"28-May-2024","EQ","279.30","279.30","273.05","277.65","274.25","274.30","275.65","292.95","150.05","69,27,361","1,90,95,34,205.60","72,422"
"27-May-2024","EQ","284.00","284.20","275.70","283.25","278.30","277.65","278.27","292.95","150.05","1,37,19,808","3,81,77,78,945.65","1,21,200"
"24-May-2024","EQ","284.00","285.95","281.85","283.45","282.65","283.25","283.97","292.95","150.05","1,10,41,667","3,13,54,54,781.80","91,519"
"23-May-2024","EQ","279.95","284.55","279.10","278.00","283.20","283.45","281.71","292.95","150.05","1,77,19,819","4,99,18,96,762.20","1,40,099"
"22-May-2024","EQ","284.00","284.00","276.90","280.10","278.60","278.00","279.56","292.95","150.05","1,79,35,064","5,01,39,70,379.35","1,32,591"
"21-May-2024","EQ","281.10","284.00","278.35","279.00","279.90","280.10","280.51","292.95","150.05","1,75,59,555","4,92,57,02,826.10","1,61,843"
"18-May-2024","EQ","280.30","281.70","278.45","277.45","278.95","279.00","279.97","292.95","150.05","20,10,993","56,30,19,294.50","16,538"
"17-May-2024","EQ","278.80","283.40","276.60","277.65","277.80","277.45","278.95","292.95","150.05","1,15,29,157","3,21,60,59,610.55","87,368"
"16-May-2024","EQ","276.00","279.35","273.80","273.45","276.50","277.65","276.02","292.95","150.05","2,37,57,779","6,55,76,29,041.00","1,89,443"
"15-May-2024","EQ","274.50","276.00","272.50","272.90","273.00","273.45","274.02","292.95","150.05","63,68,662","1,74,51,09,137.10","67,372"
"14-May-2024","EQ","267.95","274.65","266.45","266.90","274.50","272.90","270.17","292.95","150.05","91,23,849","2,46,50,23,573.20","90,795"
"13-May-2024","EQ","271.90","271.90","262.05","270.25","267.50","266.90","266.11","292.95","150.05","71,63,239","1,90,62,25,707.95","89,978"
